,id,popularity,title,vote_average,vote_count
1935,10957,7.449,The Black Cauldron,6.6,481
1936,9570,5.499,The Black Hole,5.9,188
1937,16249,4.727,Blackbeard's Ghost,6.9,67
1938,13962,6.668,Blank Check,5.3,160
1939,14612,2.758,Candleshoe,6.8,42
1940,19378,3.082,The Cat from Outer Space,5.6,42
1943,19379,3.377,Condorman,5.3,51
1944,11164,7.326,D2: The Mighty Ducks,5.9,223
1945,18887,7.026,Darby O'Gill and the Little People,6.7,58
1947,24736,3.428,A Far Off Place,6.3,27
1948,10122,5.605,Flight of the Navigator,7.0,331
1949,24816,1.558,The Gnome-Mobile,6.1,32
1950,9994,7.558,The Great Mouse Detective,7.1,709
1951,25445,1.97,The Happiest Millionaire,6.8,15
1952,12129,4.707,Herbie Goes Bananas,5.1,78
1953,14140,8.046,Herbie Goes To Monte Carlo,5.8,115
1954,10439,7.932,Hocus Pocus,6.8,1004
1955,11158,7.713,Honey I Blew Up the Kid,5.1,517
1956,9354,8.666,"Honey, I Shrunk the Kids",6.2,1385
1960,9631,8.083,The Negotiator,6.9,912
1961,9820,9.125,The Parent Trap,7.0,1638
1962,14013,6.883,BASEketball,6.0,240
1966,1779,5.24,Roger & Me,7.3,144
1967,10849,5.562,The Purple Rose of Cairo,7.4,380
1968,678,6.787,Out of the Past,7.7,185
1969,907,6.212,Doctor Zhivago,7.6,438
1970,5961,6.411,Fanny & Alexander,7.8,261
1973,2887,3.128,And the Band Played On,6.6,38
1974,11974,10.071,The 'Burbs,6.7,495
1975,20348,4.175,Fandango,6.7,69
1976,26648,6.843,The Night Porter,7.0,94
1977,11911,3.366,Mephisto,7.4,50
1978,793,10.417,Blue Velvet,7.7,1350
1980,9325,15.653,The Jungle Book,7.2,3267
1982,10340,11.885,Lady and the Tramp,7.0,2506
1983,10144,21.99,The Little Mermaid,7.3,3790
1984,10414,7.131,The Mighty Ducks,6.4,322
1985,10437,9.283,The Muppet Christmas Carol,7.3,396
1986,15300,4.819,Newsies,6.5,105
1987,12230,14.893,One Hundred and One Dalmatians,7.0,3146
1988,13380,2.016,One Magic Christmas,5.6,23
1989,10693,13.452,Peter Pan,7.2,2696
1990,11335,6.304,Popeye,5.2,235
1991,11135,1.925,The Rescuers Down Under,6.6,542
1992,11319,8.271,The Rescuers,6.7,1183
1993,14822,3.61,Return from Witch Mountain,5.5,53
1994,15969,10.294,The Return of Jafar,5.7,856
1995,13155,6.369,Return to Oz,6.6,218
1996,10249,6.2,The Rocketeer,6.4,363
1997,15943,2.172,The Shaggy D.A.,5.3,28
1998,10882,14.439,Sleeping Beauty,6.9,2625
1999,24808,4.771,Something Wicked This Way Comes,6.7,67
2000,19762,1.615,Son of Flubber,6.4,25
2001,13850,6.003,Song of the South,6.7,120
2002,2619,6.159,Splash,6.1,567
2007,97,10.267,Tron,6.7,1058
2008,10419,5.073,Swing Kids,6.8,98
2009,11675,10.283,Halloween H20: 20 Years Later,5.9,610
2010,2107,6.966,L.A. Story,6.6,123
2011,6471,10.411,The Jerk,7.1,392
2012,9442,7.22,Dead Men Don't Wear Plaid,6.7,152
2013,11591,5.191,The Man with Two Brains,6.3,182
2014,13697,6.336,Grand Canyon,6.6,80
2015,19158,6.514,Graveyard Shift,4.9,88
2016,227,6.696,The Outsiders,7.2,504
2017,87,15.303,Indiana Jones and the Temple of Doom,7.2,4580
2018,123,7.206,The Lord of the Rings,6.5,318
2019,9314,6.913,Nineteen Eighty-Four,6.9,570
2020,11336,6.65,The Dead Zone,7.0,556
2021,9980,7.725,Maximum Overdrive,5.4,257
2022,10657,6.526,Needful Things,6.1,207
2023,10489,6.253,Cujo,5.9,336
2024,10823,6.531,Children of the Corn,5.7,381
2025,11497,7.166,All Dogs Go to Heaven,6.6,433
2026,2907,11.368,The Addams Family,6.9,1906
2027,9454,7.845,EverAfter,7.0,669
2028,8688,8.215,Snake Eyes,5.9,533
2030,16155,2.636,Safe Men,5.9,20
2032,23954,4.34,Atlantic City,6.9,79
2033,12761,4.668,Autumn Sonata,8.0,141
2034,396,5.979,Who's Afraid of Virginia Woolf?,8.0,321
2035,14367,7.198,Adventures in Babysitting,6.7,254
2036,11814,8.926,Weird Science,6.4,591
2037,16081,4.606,Doctor Dolittle,6.1,69
2038,18331,5.307,The Nutty Professor,6.6,152
2039,15171,6.768,Charlotte's Web,6.5,155
2040,11837,7.127,Watership Down,7.2,282
2041,11704,5.189,The Secret of NIMH,7.5,352
2042,11639,7.863,The Dark Crystal,7.3,367
2043,4978,7.781,An American Tail,6.7,619
2044,10380,8.916,An American Tail: Fievel Goes West,6.3,331
2045,11976,9.224,Legend,6.2,463
2046,15144,16.988,Sixteen Candles,6.8,892
2047,11522,7.775,Pretty in Pink,6.7,504
2048,11557,5.358,St. Elmo's Fire,6.2,232
2049,13853,3.267,The Clan of the Cave Bear,4.7,45
2050,11415,5.963,House,6.1,214
2052,8393,18.573,The Gods Must Be Crazy,7.1,413
2053,11937,12.548,The Gods Must Be Crazy II,6.4,146
2054,21661,4.224,Air Bud: Golden Receiver,4.6,75
2055,9320,7.024,The Avengers,4.3,312
2057,14662,6.805,Slums of Beverly Hills,6.5,88
2061,10692,6.514,Henry: Portrait of a Serial Killer,6.9,250
2062,805,10.734,Rosemary's Baby,7.7,1623
2065,2182,5.348,Attack of the Killer Tomatoes!,4.8,111
2068,10278,4.424,Return to Paradise,6.4,59
2070,17915,2.574,Dance with Me,5.7,45
2071,14557,4.214,Dead Man on Campus,5.6,65
2072,9417,6.789,Wrongfully Accused,5.8,138
2074,19381,2.439,Strike!,6.3,39
2076,4011,23.834,Beetlejuice,7.3,2776
2078,1580,8.546,Rope,8.0,1010
2079,5854,6.689,Family Plot,6.7,140
2080,573,6.364,Frenzy,7.2,283
2081,2370,6.526,Topaz,6.1,120
2082,5780,5.461,Torn Curtain,6.5,197
2083,506,6.269,Marnie,7.3,397
2084,22527,5.046,The Wrong Man,7.2,174
2085,574,17.784,The Man Who Knew Too Much,7.5,505
2086,11219,7.294,The Trouble with Harry,7.1,275
2088,845,11.264,Strangers on a Train,7.8,643
2089,1978,4.934,Stage Fright,6.8,98
2090,3682,7.182,54,5.6,216
2095,847,9.84,Willow,7.0,782
2096,117,14.707,The Untouchables,7.8,2565
2097,14577,5.858,Dirty Work,6.5,102
2102,4175,4.446,Under Capricorn,6.5,40
2104,13321,6.316,Lifeboat,7.5,176
2105,21734,6.943,Shadow of a Doubt,7.7,360
2107,24197,2.751,Mr. & Mrs. Smith,6.0,57
2108,11462,5.508,Suspicion,7.2,231
2110,940,5.303,The Lady Vanishes,7.6,301
2111,2762,3.809,Young and Innocent,6.8,65
2112,12684,4.47,Sabotage,6.7,103
2113,2761,2.754,Secret Agent,6.6,50
2114,8208,4.851,The Man Who Knew Too Much,6.6,129
2116,15007,2.965,Number Seventeen,5.8,34
2122,20213,3.051,The Manxman,6.0,20
2123,543,4.904,Blackmail,6.7,77
2129,2760,5.028,The Lodger: A Story of the London Fog,7.2,94
2131,10220,9.47,Rounders,7.0,758
2132,431,11.307,Cube,6.9,1991
2136,22796,4.534,Simon Birch,6.6,97
2137,22256,3.053,Without Limits,6.5,29
2140,21873,2.832,My Bodyguard,6.6,45
2141,21500,4.53,Class,5.9,62
2143,12626,6.451,Broadcast News,6.8,154
2145,3525,7.879,Working Girl,6.5,403
2147,2321,7.778,Married to the Mob,5.8,106
2148,2028,6.455,Say Anything...,7.3,385
2149,16384,4.767,My Blue Heaven,6.0,99
2152,10699,5.518,Hero,6.3,174
2153,11597,5.719,Toys,5.2,257
2158,14347,5.685,Blame It on Rio,5.8,72
2160,18282,5.052,One Crazy Summer,6.2,83
2161,18169,3.86,About Last Night...,5.7,76
2162,11082,6.036,The Seventh Sign,5.9,128
2163,5971,7.008,We're No Angels,6.1,187
2164,11933,6.639,Nothing but Trouble,5.1,137
2165,20096,6.01,The Butcher's Wife,5.4,58
2167,881,9.578,A Few Good Men,7.3,1503
2168,4478,8.455,Indecent Proposal,6.0,549
2169,22318,3.81,Permanent Midnight,6.1,47
2171,2109,10.612,Rush Hour,6.8,2086
2173,24746,3.144,Six-String Samurai,5.8,54
2176,8195,7.822,Ronin,6.9,1029
2177,9877,9.585,Urban Legend,5.7,509
2178,26618,3.992,Clay Pigeons,6.3,55
2179,21132,2.403,Monument Ave.,6.4,12
2180,11855,4.257,Pecker,6.0,84
2181,24016,4.508,The Sheltering Sky,6.7,89
2182,14785,1.529,Bandit Queen,6.5,18
2183,14794,5.283,if....,7.3,134
2184,3486,1.667,The Fiendish Plot of Dr. Fu Manchu,4.4,14
2185,11071,6.24,Them!,6.8,161
2186,1091,16.849,The Thing,8.0,2840
2187,10403,6.776,The Player,7.1,277
2188,11337,4.201,Stardust Memories,7.1,160
2189,162,16.989,Edward Scissorhands,7.6,6935
2190,25723,2.093,Overnight Delivery,6.1,42
2192,8916,9.349,Antz,6.1,2395
2194,9429,8.031,A Night at the Roxbury,6.0,299
2195,12159,8.703,What Dreams May Come,7.1,1058
2199,10156,7.473,History of the World: Part I,6.6,310
2200,10377,8.865,My Cousin Vinny,7.4,594
2201,3121,5.777,Nashville,7.4,135
2202,4975,1.915,Love Is the Devil: Study for a Portrait of Francis Bacon,6.9,29
2204,9713,7.072,Holy Man,4.9,179
2207,1039,2.073,The Inheritors,7.3,9
2208,9821,4.735,The Mighty,7.3,107
2209,4437,7.04,2010,6.7,413
2210,1890,6.371,Children of a Lesser God,7.0,120
2211,1955,10.162,The Elephant Man,8.0,1370
2213,11932,7.855,Bride of Chucky,5.6,669
2214,6435,10.821,Practical Magic,6.5,624
2216,10683,6.869,Happiness,7.6,316
2218,9445,5.648,Apt Pupil,6.5,250
2219,2657,6.017,Pleasantville,7.2,827
2220,9425,5.669,Soldier,6.1,315
2222,637,15.363,Life Is Beautiful,8.4,6808
2223,8675,7.79,Orgazmo,6.2,170
2225,20701,6.268,Tales from the Darkside: The Movie,6.0,131
2226,9945,7.281,Vampires,6.1,430
2227,73,12.908,American History X,8.3,5458
2228,18603,0.864,Hands on a Hard Body: The Documentary,7.8,9
2230,12888,3.608,Belly,5.9,61
2231,3033,4.873,Gods and Monsters,7.1,126
2232,9882,7.634,The Siege,6.2,560
2233,10663,7.672,The Waterboy,5.9,819
2234,4518,7.737,Elizabeth,7.2,615
2235,1808,5.619,Velvet Goldmine,7.0,203
2236,3600,8.364,I Still Know What You Did Last Summer,5.2,673
2237,17037,5.008,I'll Be Home for Christmas,5.5,114
2238,297,9.069,Meet Joe Black,7.1,2033
2239,5332,0.979,Dancing at Lughnasa,6.3,16
2240,21589,1.488,Hard Core Logo,6.7,12
2241,8336,0.6,The Naked Man,6.0,3
2242,11893,8.264,Runaway Train,7.1,207
2244,12223,5.064,The Stepford Wives,6.8,116
2246,14924,5.431,Sid & Nancy,6.9,199
2247,10002,5.731,Mona Lisa,7.0,89
2249,19426,5.552,Nights of Cabiria,8.0,219
2250,12560,6.241,The Big Chill,7.1,216
2251,9798,8.211,Enemy of the State,6.8,1853
2252,14444,6.099,The Rugrats Movie,5.8,253
2253,9487,17.842,A Bug's Life,6.9,4628
2254,9466,6.395,Celebrity,6.0,173
2255,666,4.883,Central Station,8.0,261
2256,2042,3.175,Savior,6.9,45
2257,10162,5.386,Waking Ned,7.2,117
2258,309,,The Celebration,7.8,364
2259,692,5.38,Pink Flamingos,6.3,183
2260,24018,2.343,Glen or Glenda,4.6,46
2261,1678,7.697,Godzilla,7.1,293
2263,1680,4.647,King Kong vs. Godzilla,5.9,73
2264,244,8.112,King Kong,7.7,592
2265,10730,7.636,King Kong,5.9,320
2267,8130,5.858,Desperately Seeking Susan,6.1,165
2268,11532,5.754,The Emerald Forest,6.9,101
2269,9749,7.539,Fletch,6.8,298
2270,14628,7.307,Fletch Lives,5.9,131
2271,9626,6.677,Red Sonja,5.1,335
2272,13698,4.863,Gung Ho,6.0,84
2273,10466,7.328,The Money Pit,6.4,447
2274,707,20.532,A View to a Kill,6.2,800
2275,11954,8.028,Lifeforce,6.2,207
2276,9336,9.137,Police Academy,6.6,1061
2277,10157,11.24,Police Academy 2: Their First Assignment,5.9,592
2278,12118,9.064,Police Academy 3: Back in Training,5.7,464
2279,10587,15.241,Police Academy 4: Citizens on Patrol,5.3,451
2280,11825,7.992,Police Academy 5: Assignment Miami Beach,5.0,347
2281,11895,12.268,Police Academy 6: City Under Siege,4.9,321
2282,9447,9.577,Babe: Pig in the City,5.4,570
2283,12257,4.209,Home Fries,4.7,47
2285,10029,6.97,Very Bad Things,6.3,287
2287,11252,5.85,Psycho,5.0,420
2288,8545,5.414,Little Voice,6.6,91
2289,10223,9.335,A Simple Plan,7.1,331
2290,9745,9.148,Jack Frost,5.8,511
2291,200,7.191,Star Trek: Insurrection,6.4,573
2292,9837,12.189,The Prince of Egypt,7.1,1773
2293,11545,7.286,Rushmore,7.5,1108
2294,1934,9.924,Shakespeare in Love,6.9,1581
2296,11881,8.7,Miracle on 34th Street,7.4,279
2297,13764,5.776,Santa Claus: The Movie,6.1,92
2298,24951,3.9,Prancer,5.9,33
2299,8879,8.384,Pale Rider,7.1,396
2300,1369,19.501,Rambo: First Blood Part II,6.4,1488
2301,1368,18.392,First Blood,7.3,2605
2302,1370,12.996,Rambo III,5.9,1206
2303,10303,11.508,The Jewel of the Nile,6.1,465
2304,9326,22.173,Romancing the Stone,6.6,772
2305,10328,8.673,Cocoon,6.5,540
2306,11285,5.203,Cocoon: The Return,5.4,150
2307,1367,13.049,Rocky II,7.1,1852
2308,1371,14.778,Rocky III,6.7,1691
2309,1374,14.653,Rocky IV,6.9,1831
2310,1375,10.003,Rocky V,5.5,1313
2311,15196,8.234,Clue,7.3,587
2312,11904,5.695,Young Sherlock Holmes,6.9,262
2314,15596,7.704,Back to School,6.3,174
2315,13818,4.107,Heartburn,6.2,74
2318,1885,10.222,The Karate Kid,7.0,1594
2319,8856,9.031,"The Karate Kid, Part II",6.1,800
2320,10495,8.125,"The Karate Kid, Part III",5.7,575
2321,5825,14.811,National Lampoon's Christmas Vacation,7.2,1052
2322,9489,13.857,You've Got Mail,6.5,1540
2323,16885,3.188,The General,6.9,40
2325,8741,13.985,The Thin Red Line,7.4,1311
2326,9276,12.809,The Faculty,6.2,842
2327,9822,9.608,Mighty Joe Young,5.9,331
2329,10312,9.482,Patch Adams,7.2,1519
2330,9441,11.481,Stepmom,7.0,570
2331,9422,6.341,A Civil Action,6.2,175
2333,24525,4.013,Hurlyburly,6.0,45
2334,10368,4.235,Tea with Mussolini,6.1,56
2335,11365,5.619,Wilde,6.7,105
2339,1363,3.109,The Hi-Lo Country,5.3,19
2341,825,3.989,Playing by Heart,6.8,82
2342,22913,0.92,24 7: Twenty Four Seven,6.3,10
2343,15556,8.483,At First Sight,5.9,97
2345,14709,8.16,Varsity Blues,6.1,176
2346,9423,7.111,Virus,5.1,235
2347,14443,2.774,The Garbage Pail Kids Movie,3.4,42
2348,10658,7.242,Howard the Duck,5.1,396
2349,6917,5.839,The Gate,5.9,136
2351,24086,2.496,The Boy Who Could Fly,6.2,50
2352,11815,6.091,The Fly,7.1,205
2353,9426,13.246,The Fly,7.2,1824
2354,10344,6.239,The Fly II,5.3,238
2355,15698,7.081,Running Scared,6.2,79
2356,2620,4.334,Armed and Dangerous,5.5,67
2358,16337,7.17,The Texas Chainsaw Massacre 2,5.6,282
2359,25018,9.721,Leatherface: The Texas Chainsaw Massacre III,5.3,146
2360,16780,10.153,Texas Chainsaw Massacre: The Next Generation,3.8,171
2361,12151,6.189,Ruthless People,6.7,158
2362,25438,3.972,Trick or Treat,5.9,61
2365,192,10.541,The Name of the Rose,7.4,1352
2366,10945,6.42,Jumpin' Jack Flash,6.1,139
2367,10013,5.476,Peggy Sue Got Married,6.1,231
2368,9671,7.931,Crocodile Dundee,6.3,860
2369,9396,7.045,Crocodile Dundee II,5.6,503
2370,11038,3.881,Tough Guys,5.8,57
2371,12278,4.529,Soul Man,5.4,63
2372,11873,8.157,The Color of Money,6.8,511
2373,18588,2.199,52 Pick-Up,6.4,31
2374,10015,8.985,Heartbreak Ridge,6.7,400
2375,12715,5.005,Firewalker,5.5,71
2376,8388,9.32,¡Three Amigos!,6.3,418
2378,6187,1.228,Dry Cleaning,5.5,11
2379,8129,3.269,My Name Is Joe,7.2,53
2380,1618,4.188,Still Crazy,7.1,57
2381,10722,6.686,The Day of the Beast,7.2,193
2383,10314,6.255,She's All That,6.0,841
2386,11167,6.146,Peeping Tom,7.6,244
2388,2112,9.787,Payback,6.7,804
2389,16172,6.692,Simply Irresistible,5.1,102
2391,9524,3.828,Comedian Harmonists,6.7,21
2392,20595,1.631,The Last Days,7.5,13
2393,16306,5.281,Fantastic Planet,7.7,250
2394,11622,6.338,Blast from the Past,6.4,383
2395,10207,10.864,Message in a Bottle,6.1,349
2396,9849,4.785,My Favorite Martian,5.3,134
2398,18892,4.72,Jawbreaker,5.8,167
2399,13466,7.664,October Sky,7.6,450
2400,1542,9.859,Office Space,7.5,1483
2402,15256,4.145,200 Cigarettes,5.9,73
2403,8224,10.782,8MM,6.2,780
2404,18417,4.415,The Other Sister,6.2,65
2405,12479,3.45,Breakfast of Champions,5.4,40
2406,15031,1.075,The Breaks,5.4,4
2407,15209,1.737,Eight Days a Week,5.8,18
2408,1847,4.586,The Long Goodbye,7.4,199
2410,8913,9.736,Pet Sematary,6.5,753
2411,10906,5.168,Pet Sematary II,5.3,172
2412,25748,4.976,Children of the Corn II: The Final Sacrifice,4.6,76
2413,25749,6.46,Children of the Corn III: Urban Harvest,4.8,73
2414,8769,7.58,Christine,6.6,702
2415,14742,6.172,Night Shift,6.0,76
2416,15856,5.971,House on Haunted Hill,6.9,178
2417,10671,6.614,Airport,6.4,140
2419,7227,6.286,Airport '77,5.7,110
2420,10670,3.681,Rollercoaster,5.7,51
2421,5919,8.542,The Towering Inferno,7.1,370
2424,2362,7.303,Westworld,6.8,556
2425,10803,8.139,Logan's Run,6.7,382
2426,871,13.88,Planet of the Apes,7.6,1543
2427,1685,6.488,Beneath the Planet of the Apes,6.2,530
2428,1705,6.388,Battle for the Planet of the Apes,5.7,335
2429,1688,6.898,Conquest of the Planet of the Apes,6.2,348
2430,1687,6.551,Escape from the Planet of the Apes,6.3,406
2432,11123,6.271,Earthquake,5.6,117
2436,9535,7.479,Analyze This,6.4,803
2437,9455,6.827,The Corruptor,6.1,100
2438,796,9.444,Cruel Intentions,6.6,1447
2439,100,7.205,"Lock, Stock and Two Smoking Barrels",8.0,2801
2445,7341,5.982,The Rage: Carrie 2,5.1,146
2446,10350,7.493,Wing Commander,4.3,107
2447,11772,4.825,The Haunting,7.3,234
2448,9540,7.626,Dead Ringers,7.1,318
2450,11773,5.328,Village of the Damned,7.2,144
2452,22345,5.886,Baby Geniuses,3.7,148
2454,1567,10.745,I Stand Alone,7.7,170
2455,1641,6.577,Forces of Nature,5.3,254
2457,10212,10.209,Ravenous,6.8,221
2458,10354,7.306,True Crime,6.5,258
2459,11526,1.425,Bandits,5.2,13
2460,8583,4.705,Dangerous Beauty,7.2,87
2462,16520,5.437,The King and I,7.3,168
2463,16508,2.951,Doug's 1st Movie,5.4,40
2464,11374,8.888,Edtv,5.9,274
2465,16379,4.38,The Mod Squad,4.2,59
2468,603,27.315,The Matrix,8.1,13628
2469,4951,14.409,10 Things I Hate About You,7.5,3597
2471,8970,4.592,The Out-of-Towners,5.3,76
2472,9840,2.277,The Dreamlife of Angels,7.3,36
2476,11660,6.343,Following,7.2,624
2477,9430,6.923,Go,6.9,297
2478,11355,7.936,Never Been Kissed,6.0,699
2479,18764,7.5,Twin Dragons,6.2,120
2480,9465,4.201,Cookie's Fortune,6.6,66
2482,1414,4.335,Lovers of the Arctic Circle,7.4,80
2484,6522,7.377,Life,6.4,299
2486,10209,6.918,Hideous Kinky,6.3,38
2487,25512,2.596,Jeanne and the Perfect Guy,5.5,7
2489,22826,4.663,The Monster,7.0,266
2490,1902,5.313,Open Your Eyes,7.5,361
2492,6396,5.167,SLC Punk,7.3,155
2494,12596,6.326,Pushing Tin,5.9,184
2495,9451,7.155,Election,6.8,439
2496,1946,6.726,eXistenZ,6.8,828
2501,1844,8.151,Entrapment,6.1,943
2502,6552,7.221,Idle Hands,6.0,274
2503,24584,3.68,Get Real,6.9,71
2505,25471,1.565,The King of Masks,7.9,19
2506,4154,1.4,Three Seasons,7.2,12
2508,3309,5.89,Mildred Pierce,7.7,137
2509,18462,6.714,Night of the Comet,6.3,141
2511,18252,5.953,My Science Project,5.9,51
2512,8592,6.679,Dick Tracy,6.1,390
2513,564,20.807,The Mummy,6.7,4627
2514,13852,4.803,The Castle,7.3,95
2516,25232,1.063,This Is My Father,5.5,4
2518,10210,12.168,A Midsummer Night's Dream,6.4,176
2520,17962,4.79,After Life,7.2,81
2521,9460,5.73,Black Mask,5.8,84
2522,4927,3.14,Edge of Seventeen,6.3,47
2524,1893,19.337,Star Wars: Episode I - The Phantom Menace,6.4,7522
2528,8785,3.343,The Saragossa Manuscript,7.6,38
2529,15849,11.042,The Mummy,7.0,204
2530,18990,6.938,The Mummy,6.8,82
2535,15660,4.843,Mommie Dearest,6.7,78
2536,1924,13.877,Superman,7.0,1738
2537,8536,11.128,Superman II,6.6,1041
2538,9531,9.199,Superman III,5.3,772
2539,11411,9.253,Superman IV: The Quest for Peace,4.2,523
2540,138,7.139,Dracula,7.2,447
2542,3103,4.396,House of Frankenstein,6.0,42
2543,3035,16.959,Frankenstein,7.5,561
2544,3077,5.0,Son of Frankenstein,6.9,66
2545,3074,3.015,The Ghost of Frankenstein,6.2,39
2546,3076,4.77,Frankenstein Meets the Wolf Man,6.3,65
2547,3079,6.757,The Curse of Frankenstein,6.9,96
2549,13666,6.533,The Wolf Man,7.1,193
2551,9077,5.854,Tarantula,6.2,90
2555,10785,7.085,The Thing from Another World,6.8,216
2556,19483,5.205,It Came from Outer Space,6.2,68
2557,8974,8.609,The War of the Worlds,7.0,264
2559,11549,17.923,Invasion of the Body Snatchers,7.5,392
2560,18158,4.818,Earth vs. the Flying Saucers,5.9,59
2563,17918,6.862,Swamp Thing,5.5,143
2565,18784,2.878,"Run Silent, Run Deep",7.4,45
2566,509,10.843,Notting Hill,7.1,2640
2567,1090,6.78,The Thirteenth Floor,7.0,582
2568,24858,3.48,Eternity and a Day,7.6,34
2569,15059,2.799,The Loss of Sexual Innocence,5.1,12
2571,12117,5.696,Instinct,6.5,266
2572,11779,4.95,Buena Vista Social Club,7.5,128
2576,13533,1.78,Free Enterprise,6.4,16
2578,817,9.39,Austin Powers: The Spy Who Shagged Me,6.2,1686
2581,14283,6.43,The Red Violin,7.6,141
2583,2275,7.957,The General's Daughter,6.2,352
2585,24137,6.11,An Ideal Husband,6.4,87
2586,10376,8.6,The Legend of 1900,8.3,1035
2587,104,7.473,Run Lola Run,7.3,1014
2588,15800,2.978,Trekkies,6.5,29
2589,9032,10.251,Big Daddy,6.3,1582
2590,13821,0.867,The Boys,6.5,5
2591,9421,7.662,The Dinner Game,7.8,801
2594,6488,5.156,Arachnophobia,6.3,665
2595,9473,8.422,"South Park: Bigger, Longer & Uncut",7.2,1344
2596,8487,9.008,Wild Wild West,5.2,1681
2597,10279,7.709,Summer of Sam,6.5,182
2599,2767,5.198,The Lovers on the Bridge,7.5,95
2601,2105,15.746,American Pie,6.4,4047
2602,1073,9.718,Arlington Road,7.1,429
2603,10239,3.129,Autumn Tale,7.0,20
2604,10208,10.42,Muppets from Space,6.0,138
2605,2667,10.043,The Blair Witch Project,6.3,2027
2607,345,11.042,Eyes Wide Shut,7.3,2478
2608,9825,8.626,Lake Placid,5.5,408
2609,16158,2.473,The Wood,7.2,49
2611,620,17.222,Ghostbusters,7.4,4244
2612,2978,11.788,Ghostbusters II,6.4,1963
2613,10490,5.945,Drop Dead Gorgeous,6.5,139
2614,11618,8.713,The Haunting,5.3,610
2615,332,7.376,Inspector Gadget,4.4,565
2616,1812,3.214,Trick,7.4,38
2617,8914,7.586,Deep Blue Sea,5.8,1065
2618,9824,6.797,Mystery Men,5.8,363
2619,4806,8.071,Runaway Bride,5.9,887
2621,247,8.74,The Killing,7.7,534
2622,10056,6.673,Killer's Kiss,6.4,184
2623,967,8.781,Spartacus,7.5,853
2624,802,8.715,Lolita,7.4,781
2625,3175,8.604,Barry Lyndon,8.0,1039
2626,147,7.618,The 400 Blows,8.1,711
2627,1628,6.638,Jules and Jim,7.8,310
2628,21185,1.725,Vibes,5.8,20
2629,11120,6.305,The Mosquito Coast,6.4,196
2630,10136,8.588,The Golden Child,5.7,475
2634,873,8.064,The Color Purple,7.8,648
2636,26789,5.279,No Mercy,5.8,58
2637,3934,4.375,Ménage,6.5,63
2640,11416,6.62,The Mission,7.3,544
2641,10776,8.791,Little Shop of Horrors,6.7,642
2642,24452,4.209,The Little Shop of Horrors,6.3,123
2643,9710,6.412,Allan Quatermain and the Lost City of Gold,4.7,109
2646,24081,2.037,From the Hip,5.8,18
2647,20242,3.903,Outrageous Fortune,5.8,50
2650,2115,1.631,Light of Day,5.5,15
2651,23599,2.664,Wanted: Dead or Alive,6.0,32
2652,3526,3.384,Frances,7.2,42
2654,16406,5.923,Dick,5.8,111
2656,10386,11.585,The Iron Giant,7.8,2600
2657,745,15.608,The Sixth Sense,7.9,5745
2658,913,8.296,The Thomas Crown Affair,6.7,546
2659,912,6.58,The Thomas Crown Affair,7.0,176
2660,12229,2.739,The Acid House,6.5,54
2664,19457,5.289,The Yards,6.3,158
2665,11353,7.177,Bowfinger,6.0,391
2666,17707,7.518,Brokedown Palace,6.4,171
2667,9781,6.306,Detroit Rock City,6.7,161
2669,18212,3.516,Better Than Chocolate,6.3,37
2670,13817,1.205,Head On,6.6,24
2674,12185,5.035,Heaven Can Wait,6.4,140
2676,26857,2.894,The Tingler,6.4,53
2679,25319,6.589,The Masque of the Red Death,6.7,92
2681,24103,4.896,Haunted Honeymoon,5.5,65
2682,10552,6.184,Cat's Eye,6.1,201
2683,9267,5.619,And Now for Something Completely Different,7.2,216
2684,10766,5.954,Damien: Omen II,6.1,257
2685,10768,6.918,Omen III: The Final Conflict,5.5,200
2686,813,20.356,Airplane!,7.2,1933
2687,2665,7.756,Airplane II: The Sequel,6.0,442
2688,9406,8.962,An American Werewolf in Paris,5.4,240
2689,11418,9.036,National Lampoon's European Vacation,6.0,345
2690,11153,7.736,National Lampoon's Vacation,7.1,642
2691,14170,6.074,Funny Farm,6.1,98
2692,2280,10.066,Big,7.0,1690
2693,11077,5.83,Problem Child,5.5,285
2695,22611,7.147,Little Nemo: Adventures in Slumberland,7.0,64
2697,10396,7.983,Tequila Sunrise,6.0,188
2698,9944,7.827,The Pelican Brief,6.4,626
2699,850,8.333,A Christmas Story,7.3,570
2700,10154,6.184,Mickey Blue Eyes,5.4,217
2701,10342,5.75,Teaching Mrs. Tingle,5.4,158
2702,10366,7.021,Universal Soldier: The Return,4.5,222
2703,9349,9.592,Universal Soldier,5.9,605
2704,15122,2.338,Love Stinks,5.3,13
2705,10494,6.836,Perfect Blue,8.2,587
2707,22314,2.286,In Too Deep,6.9,33
2710,11037,6.725,Iron Eagle,5.2,106
2711,11955,3.733,Iron Eagle II,4.4,29
2712,2038,2.346,Iron Eagle III,3.8,22
2714,11963,6.725,Three Days of the Condor,7.4,425
2717,9096,6.492,Medicine Man,6.0,166
2721,1911,7.865,The 13th Warrior,6.5,817
2722,2900,6.502,The Astronaut's Wife,5.5,444
2723,17709,4.818,Dudley Do-Right,3.7,80
2729,6373,1.491,The Very Thought of You,5.6,23
2730,2162,4.467,Chill Factor,5.0,58
2731,14578,3.553,Outside Providence,5.6,38
2733,4338,1.165,I Woke Up Early The Day I Died,4.4,5
2735,10307,10.062,Stigmata,6.1,426
